ds,yhat,Product Name,week
2026-01-12,45.67617130279541,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,3
2026-01-19,43.50951862335205,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,4
2026-01-26,42.216121673583984,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,5
2026-02-02,40.808735847473145,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,6
2026-02-09,39.81207275390625,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,7
2026-02-16,38.83022403717041,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,8
2026-02-23,38.00752258300781,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,9
2026-03-02,37.30731010437012,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,10
2026-03-09,36.81032466888428,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,11
2026-03-16,36.315430641174316,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,12
2026-03-23,36.18379783630371,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,13
2026-03-30,36.07557392120361,Aquamarine Embroidered Jamawar Theme Shalwar Kameez,14
2025-12-29,26.168090999126434,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,1
2026-01-05,27.105283349752426,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,2
2026-01-12,27.13705813884735,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,3
2026-01-19,26.465104162693024,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,4
2026-01-26,25.3943829536438,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,5
2026-02-02,25.062887221574783,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,6
2026-02-09,24.448749601840973,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,7
2026-02-16,24.270554274320602,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,8
2026-02-23,23.928190052509308,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,9
2026-03-02,23.840520173311234,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,10
2026-03-09,23.721061915159225,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,11
2026-03-16,23.618288606405258,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,12
2026-03-23,23.551166594028473,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,13
2026-03-30,23.552897602319717,Aquamarine Embroidered Kantha Odyssey Theme Shalwar Kameez,14
2025-12-29,17.743634700775146,Aquamarine Printed Viscose Shawl,1
2026-01-05,18.159369379281998,Aquamarine Printed Viscose Shawl,2
2026-01-12,18.50176152586937,Aquamarine Printed Viscose Shawl,3
